,Ego,Cross Entropy
80-20,timoni-grone,-3.802202679
80-20,tina-hui,-3.553067336
80-20,tj-cho,-4.554140987
80-20,toby-padilla,-5.193533766
80-20,todd-carpenter,-5.858437014
80-20,tollef-biggs,-4.345207497
80-20,tom-cummings,-4.032667733
80-20,tom-mascardo,-5.554805318
80-20,tomo-himajin,-2.826762108
80-20,tony-bacigalupo,-4.970630211
80-20,toonmonk,-2.617357461
80-20,tsubasa-a,-3.558410744
80-20,twanna-hines,-3.455714098
80-20,tyler-fitch,-6.704117521
80-20,tyler-t,-3.012781739
80-20,tyler-willis,-2.615454839
80-20,unityan,-1.203556882
80-20,uzu,-3.287315601
80-20,vignesh-ram,-2.222454473
80-20,ville-vihermaa,-5.236715782
80-20,vince-maniago,-2.398209422
80-20,vishal-sapra,-4.522841485
80-20,walter-elly,-4.708769258
80-20,wan-wan,-3.235364588
80-20,wayne-r,-2.788651658
80-20,wayne-sutton,-4.270626094
80-20,werner-vogels,-2.826300406
80-20,whitney-jefferson,-4.198032792
80-20,whitney6,-4.131511335
80-20,william-beutler,-2.294203987
80-20,william-toll,-6.615719949
80-20,wungjae-hyun,-5.700875177
80-20,yawen-c,-3.254643964
80-20,yoshihiro,-3.711392506
80-20,yoshihiro-minegishi,-4.340175809
80-20,younhaholic,-4.081057946
80-20,yuichi1123,-2.923426916
80-20,yuina-azu,-3.914824609
80-20,yuna-park,-4.046319952
80-20,yuri-van-geest,-4.73273593
80-20,zach-klein,-4.432155353
80-20,zach-linder,-5.64312554
80-20,zach-seward,-4.530250047
80-20,zachary-blank,-2.892317277
80-20,zack-simone,-4.934212503
80-20,zeeshan-h,-7.283508991
50-50,00-a,-4.023276946
50-50,26,-2.03100506
50-50,29,-0.879416036
50-50,4280,-0.741521272
50-50,4sq-seoul,-1.85685852
50-50,826,-2.089316601
50-50,87,-2.05673699
50-50,890,-3.015163066
50-50,a-t,-0.250289251
50-50,aaron-bailey2,-3.493182331
50-50,aaron-chronister,-2.405605894
50-50,aaron-cruz,-4.767639098
50-50,aaron-landry,-3.886409852
50-50,aaron-palmer,-4.010723657
50-50,aaron-rutledge,-2.54230156
50-50,aaron-strout,-4.001355599
50-50,adam-brodowski,-3.925427838
50-50,adam-cohen,-1.700507155
50-50,adam-fullerton,-3.707684998
50-50,adam-holden-bache,-2.503648234
50-50,adam-jackson,-0.959695716
50-50,adam-okrasinski,-2.229625551
50-50,adam-ostrow,-2.28083016
50-50,akifumi-yamashita,-1.729501464
50-50,akira-puku,-1.45539409
50-50,akshay-dodeja,-2.23809161
50-50,alan-cordova,-1.28330313
50-50,alastair-green,-1.776864229
50-50,albert-lee4,-2.764552739
50-50,alex-rainert,-2.903504876
50-50,alex-white,-2.38112192
50-50,alexandr-blohin,-0.820932173
50-50,alexey-dolotov,-2.438806481
50-50,alexis-dorenter,-3.949184257
50-50,alicia-wong,-1.437862329
50-50,allan-m88,-1.587415039
50-50,allan-martinson,-5.377760246
50-50,alli,-1.770305376
50-50,amanda-spurlock,-2.242805971
50-50,amber-case,-1.339651401
50-50,amber-rae-lambke,-3.862645354
50-50,amir-cohen,-2.236557762
50-50,amish-shah,-1.791456768
50-50,ana-h,-3.779547025
50-50,andrea-rosen,-2.396528466
50-50,andrei-zmievski,-2.96931853
50-50,andrew-dumas,-3.128372722
50-50,andrew-grill,-3.932257755
50-50,andrew-mager,-0.58596216
50-50,andrew-nystrom,-1.314776237
50-50,andrew-pile,-2.774401158
